iter	Passed	Remaining
187	388	1676
188	390	1673
189	391	1670
190	393	1666
191	395	1662
192	396	1659
193	398	1655
194	400	1652
195	402	1651
196	404	1649
197	406	1648
198	408	1645
199	410	1642
200	412	1639
201	414	1635
202	415	1632
203	418	1632
204	420	1629
205	421	1626
206	423	1623
207	425	1619
208	427	1616
209	428	1613
210	430	1610
211	433	1609
212	434	1606
213	436	1603
214	438	1600
215	440	1597
216	441	1594
217	443	1591
218	445	1588
219	447	1586
220	449	1584
221	451	1580
222	452	1577
223	454	1574
224	456	1571
225	458	1568
226	459	1565
227	461	1562
228	463	1561
229	465	1558
230	467	1555
231	469	1552
232	470	1549
233	472	1546
234	474	1544
235	476	1541
236	478	1540
237	480	1537
238	482	1534
239	483	1532
240	485	1529
241	487	1527
242	489	1524
243	491	1521
244	493	1521
245	495	1518
246	497	1516
247	499	1513
248	501	1511
249	502	1508
250	504	1506
251	506	1503
252	508	1502
253	510	1499
254	512	1497
255	514	1494
256	515	1491
257	517	1489
258	519	1486
259	521	1483
260	523	1481
261	525	1479
262	527	1477
263	528	1474
264	530	1471
265	532	1468
266	533	1465
267	535	1462
268	537	1460
269	539	1459
270	541	1457
271	543	1454
272	545	1451
273	546	1449
274	548	1446
275	550	1443
276	552	1440
277	554	1439
278	556	1437
279	558	1435
280	560	1432
281	561	1430
282	563	1427
283	565	1424
284	566	1422
285	569	1420
286	571	1418
287	572	1416
288	574	1413
289	576	1410
290	577	1408
291	579	1405
292	581	1403
293	583	1401
294	585	1399
295	587	1397
296	589	1394
297	591	1392
298	592	1389
299	594	1387
300	596	1384
301	598	1383
302	600	1381
303	602	1379
304	604	1376
305	606	1374
306	607	1372
307	609	1369
308	611	1367
309	613	1364
310	615	1363
311	617	1361
312	619	1358
313	620	1356
314	622	1353
315	624	1351
316	626	1349
317	627	1346
318	630	1345
319	632	1343
320	633	1341
321	635	1338
322	637	1336
323	639	1333
324	640	1331
325	642	1328
326	645	1327
327	647	1326
328	649	1324
329	651	1322
330	654	1322
331	655	1319
332	657	1317
333	660	1316
334	661	1313
335	663	1311
336	665	1309
337	667	1306
338	668	1304
339	670	1302
340	672	1299
341	674	1298
342	676	1296
343	678	1293
344	680	1291
345	681	1288
346	683	1286
347	685	1284
348	687	1281
349	689	1280
350	691	1278
351	693	1276
352	695	1273
353	696	1271
354	698	1269
355	700	1266
356	702	1264
357	704	1263
358	706	1261
359	708	1259
360	710	1256
361	711	1254
362	713	1252
363	715	1249
364	716	1247
365	719	1245
366	721	1244
367	723	1241
368	724	1239
369	726	1237
370	728	1234
371	729	1232
372	731	1230
373	733	1227
374	735	1226
375	737	1224
376	739	1222
377	741	1220
378	743	1217
379	745	1215
380	746	1213
381	748	1211
382	751	1210
383	753	1209
384	755	1206
385	757	1205
386	759	1203
387	761	1201
388	763	1199
389	766	1198
390	768	1197
391	770	1195
392	772	1192
393	774	1190
394	775	1188
395	777	1186
396	779	1183
397	781	1182
398	783	1180
399	785	1177
400	787	1176
401	789	1174
402	791	1172
403	792	1169
404	794	1167
405	797	1166
406	799	1164
407	800	1162
408	802	1160
409	804	1157
410	806	1155
411	808	1153
412	810	1151
413	812	1149
414	814	1147
415	816	1145
416	817	1143
417	819	1141
418	821	1138
419	823	1136
420	825	1134
421	827	1133
422	829	1130
423	831	1129
424	832	1126
425	834	1124
426	836	1122
427	837	1119
428	841	1120
429	847	1122
430	852	1125
431	858	1129
432	862	1129
433	864	1127
434	866	1125
435	868	1123
436	871	1122
437	874	1122
438	877	1121
439	879	1119
440	881	1117
441	883	1114
442	884	1112
443	886	1110
444	889	1108
445	891	1106
446	893	1104
447	895	1102
448	897	1100
449	899	1098
450	901	1096
451	903	1095
452	905	1093
453	908	1092
454	910	1090
455	912	1088
456	913	1085
457	915	1083
458	917	1081
459	919	1079
460	921	1077
461	923	1075
462	925	1072
463	926	1070
464	928	1068
465	930	1066
466	932	1064
467	934	1062
468	936	1060
469	938	1057
470	939	1055
471	941	1053
472	943	1051
473	945	1048
474	947	1046
475	949	1045
476	951	1042
477	952	1040
478	954	1038
479	956	1036
480	958	1034
481	960	1031
482	961	1029
483	964	1027
484	966	1025
485	968	1024
486	970	1022
487	972	1020
488	974	1018
489	976	1016
490	979	1015
491	981	1012
492	982	1010
493	984	1008
494	986	1006
495	987	1003
496	989	1001
497	991	999
498	993	997
499	995	995
500	997	993
501	999	991
502	1001	989
503	1003	987
504	1004	985
505	1006	982
506	1008	981
507	1010	979
508	1012	976
509	1014	974
510	1016	972
511	1018	970
512	1020	968
513	1021	966
514	1024	964
515	1026	962
516	1028	960
517	1029	958
518	1031	956
519	1033	953
520	1035	951
521	1036	949
522	1038	947
523	1040	945
524	1042	943
525	1044	941
526	1046	939
527	1048	936
528	1049	934
529	1051	932
530	1053	930
531	1055	928
532	1057	926
533	1059	924
534	1061	922
535	1063	920
536	1065	918
537	1067	916
538	1070	915
539	1072	913
540	1074	911
541	1077	910
542	1079	908
543	1081	906
544	1083	904
545	1086	903
546	1087	900
547	1089	898
548	1091	896
549	1093	894
550	1094	892
551	1096	890
552	1098	887
553	1100	886
554	1102	883
555	1104	882
556	1106	880
557	1108	878
558	1110	875
559	1112	873
560	1113	871
561	1116	869
562	1118	867
563	1119	865
564	1121	863
565	1123	861
566	1125	859
567	1126	857
568	1128	854
569	1131	853
570	1133	851
571	1134	849
572	1136	847
573	1138	844
574	1140	842
575	1141	840
576	1143	838
577	1146	836
578	1148	834
579	1150	832
580	1152	830
581	1154	828
582	1155	826
583	1157	824
584	1159	822
585	1161	820
586	1163	818
587	1165	816
588	1167	814
589	1168	812
590	1170	810
591	1172	808
592	1174	805
593	1176	804
594	1178	802
595	1180	800
596	1182	798
597	1183	795
598	1185	793
599	1187	791
600	1189	789
601	1191	787
602	1193	785
603	1195	783
604	1197	781
605	1199	779
606	1200	777
607	1202	775
608	1204	773
609	1206	771
610	1208	769
611	1210	767
612	1212	765
613	1213	763
614	1215	761
615	1217	758
616	1219	756
617	1221	755
618	1223	753
619	1225	751
620	1227	748
621	1228	746
622	1230	744
623	1232	742
624	1234	740
625	1236	738
626	1238	736
627	1240	734
628	1241	732
629	1243	730
630	1245	728
631	1247	726
632	1249	724
633	1251	722
634	1253	720
635	1255	718
636	1257	716
637	1258	714
638	1260	712
639	1262	710
640	1264	707
641	1266	706
642	1268	704
643	1270	702
644	1271	699
645	1273	697
646	1275	695
647	1277	693
648	1279	691
649	1281	690
650	1284	688
651	1286	686
652	1288	684
653	1289	682
654	1291	680
655	1293	678
656	1295	676
657	1297	674
658	1299	672
659	1301	670
660	1303	668
661	1305	666
662	1306	664
663	1308	662
664	1310	660
665	1312	658
666	1314	656
667	1316	654
668	1318	652
669	1319	650
670	1321	647
671	1323	645
672	1324	643
673	1327	641
674	1329	640
675	1331	637
676	1333	636
677	1335	634
678	1336	632
679	1338	629
680	1340	627
681	1342	626
682	1344	624
683	1346	622
684	1348	619
685	1349	617
686	1351	615
687	1353	613
688	1355	611
689	1357	609
690	1359	607
691	1361	605
692	1363	603
693	1364	601
694	1366	599
695	1368	597
696	1370	595
697	1372	593
698	1374	591
699	1376	589
700	1378	587
701	1379	585
702	1381	583
703	1383	581
704	1385	579
705	1387	577
706	1389	575
707	1391	573
708	1393	571
709	1395	569
710	1396	567
711	1398	565
712	1400	563
713	1402	561
714	1404	559
715	1406	558
716	1408	556
717	1410	554
718	1412	552
719	1414	550
720	1416	548
721	1419	546
722	1421	544
723	1423	542
724	1425	540
725	1427	538
726	1429	536
727	1432	535
728	1434	533
729	1436	531
730	1438	529
731	1440	527
732	1442	525
733	1445	523
734	1447	521
735	1449	520
736	1452	518
737	1454	516
738	1456	514
739	1458	512
740	1460	510
741	1463	508
742	1465	506
743	1467	504
744	1469	502
745	1471	500
746	1473	498
747	1475	496
748	1477	495
749	1479	493
750	1481	491
751	1482	489
752	1484	486
753	1486	484
754	1488	482
755	1489	480
756	1491	478
757	1493	476
758	1495	474
759	1497	472
760	1499	470
761	1501	468
762	1502	466
763	1504	464
764	1506	462
765	1508	460
766	1510	458
767	1512	456
768	1514	454
769	1516	452
770	1517	450
771	1519	448
772	1521	446
773	1523	444
774	1525	442
775	1527	440
776	1528	438
777	1530	436
778	1532	434
779	1534	432
780	1535	430
781	1537	428
782	1539	426
783	1541	424
784	1543	422
785	1545	420
786	1547	418
787	1548	416
788	1550	414
789	1552	412
790	1554	410
791	1556	408
792	1558	406
793	1560	404
794	1561	402
795	1563	400
796	1565	398
797	1567	396
798	1569	394
799	1571	392
800	1573	390
801	1574	388
802	1576	386
803	1578	384
804	1580	382
805	1581	380
806	1583	378
807	1585	376
808	1587	374
809	1589	372
810	1591	370
811	1593	368
812	1594	366
813	1596	364
814	1598	362
815	1600	360
816	1602	358
817	1604	356
818	1606	354
819	1607	352
820	1609	350
821	1611	348
822	1613	346
823	1615	345
824	1617	343
825	1619	341
826	1621	339
827	1623	337
828	1624	335
829	1626	333
830	1628	331
831	1630	329
832	1632	327
833	1634	325
834	1636	323
835	1637	321
836	1639	319
837	1641	317
838	1643	315
839	1650	314
840	1651	312
841	1653	310
842	1655	308
843	1657	306
844	1658	304
845	1661	302
846	1663	300
847	1664	298
848	1666	296
849	1668	294
850	1670	292
851	1671	290
852	1673	288
853	1675	286
854	1677	284
855	1679	282
856	1681	280
857	1683	278
858	1684	276
859	1686	274
860	1688	272
861	1690	270
862	1692	268
863	1694	266
864	1696	264
865	1697	262
866	1699	260
867	1701	258
868	1703	256
869	1705	254
870	1707	252
871	1709	250
872	1711	249
873	1713	247
874	1715	245
875	1717	243
876	1719	241
877	1721	239
878	1723	237
879	1725	235
880	1726	233
881	1728	231
882	1730	229
883	1732	227
884	1733	225
885	1736	223
886	1738	221
887	1740	219
888	1741	217
889	1743	215
890	1745	213
891	1747	211
892	1748	209
893	1750	207
894	1753	205
895	1755	203
896	1756	201
897	1758	199
898	1760	197
899	1762	195
900	1763	193
901	1765	191
902	1768	189
903	1769	187
904	1772	186
905	1773	184
906	1775	182
907	1777	180
908	1779	178
909	1781	176
910	1783	174
911	1785	172
912	1786	170
913	1788	168
914	1790	166
915	1792	164
916	1793	162
917	1795	160
918	1798	158
919	1799	156
920	1801	154
921	1803	152
922	1805	150
923	1807	148
924	1808	146
925	1810	144
926	1813	142
927	1815	140
928	1816	138
929	1818	136
930	1820	134
931	1821	132
932	1823	130
933	1825	129
934	1828	127
935	1829	125
936	1831	123
937	1835	121
938	1839	119
939	1844	117
940	1848	115
941	1853	114
942	1855	112
943	1857	110
944	1859	108
945	1861	106
946	1864	104
947	1867	102
948	1870	100
949	1872	98
950	1874	96
951	1876	94
952	1878	92
953	1880	90
954	1881	88
955	1883	86
956	1885	84
957	1887	82
958	1889	80
959	1891	78
960	1893	76
961	1896	74
962	1898	72
963	1900	70
964	1902	68
965	1904	67
966	1906	65
967	1908	63
968	1909	61
969	1911	59
970	1913	57
971	1915	55
972	1916	53
973	1919	51
974	1921	49
975	1922	47
976	1924	45
977	1926	43
978	1928	41
979	1930	39
980	1932	37
981	1934	35
982	1936	33
983	1938	31
984	1940	29
985	1941	27
986	1943	25
987	1945	23
988	1947	21
989	1949	19
990	1951	17
991	1953	15
992	1955	13
993	1957	11
994	1959	9
995	1961	7
996	1963	5
997	1965	3
998	1967	1
999	1969	0
